dataset,algorithm,hybrid_accuracy_train,hybrid_glass_train,hybrid_black_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_glass_test,hybrid_black_test,hybrid_reject_test,hybrid_kappa_test
19,3x5_Dynamic_Double_GB_Deep,0.99901259,0.80066751,0.16526581,0.03406668,0.74130556,0.98916678,0.79491666,0.16272281,0.04236053,0.67742619
212,3x5_Dynamic_Double_GB_Deep,0.99751601,0.54293907,0.17397849,0.28308244,0.19937542,0.91730246,0.52774194,0.19096774,0.28129032,0.31809463
267,3x5_Dynamic_Double_GB_Deep,0.99998363,0.86010419,0.12397416,0.01592165,0.37528439,0.99195748,0.83443034,0.14327621,0.02229345,0.33141484
329,3x5_Dynamic_Double_GB_Deep,0.92499285,0.30031905,0.13972350,0.55995745,0.16925924,0.74176915,0.31939280,0.17862669,0.50198051,0.08494606
43,3x5_Dynamic_Double_GB_Deep,0.85668840,0.62148617,0.10936074,0.26915310,0.22140288,0.81969220,0.61098925,0.11516129,0.27384946,0.19100654
451,3x5_Dynamic_Double_GB_Deep,0.98855568,0.20483333,0.25348901,0.54167766,0.04865512,0.78403102,0.25454545,0.30833333,0.43712121,0.04496768
519,3x5_Dynamic_Double_GB_Deep,0.99521181,0.82229547,0.02341181,0.15429272,0.79722868,0.85113994,0.77949425,0.11085057,0.10965517,0.08579784
52,3x5_Dynamic_Double_GB_Deep,0.99943606,0.86300261,0.04045228,0.09654511,0.70199933,0.92656257,0.81242857,0.10207937,0.08549206,0.21437282
537,3x5_Dynamic_Double_GB_Deep,0.99712147,0.46568750,0.30344231,0.23087019,0.07120108,0.88076190,0.42714286,0.37571429,0.19714286,0.04655832
545,3x5_Dynamic_Double_GB_Deep,0.99782715,0.85568971,0.02867308,0.11563721,0.66199560,0.95998079,0.80020997,0.05727034,0.14251969,0.28030581
563,3x5_Dynamic_Double_GB_Deep,0.99755333,0.85283245,0.06374603,0.08342152,0.51387124,0.97213631,0.84584127,0.07517460,0.07898413,0.40849315
850,3x5_Dynamic_Double_GB_Deep,0.99716904,0.80950617,0.01950617,0.17098765,0.73443336,0.90793584,0.74022222,0.08533333,0.17444444,0.27410170
863,3x5_Dynamic_Double_GB_Deep,0.94519985,0.40753994,0.26166830,0.33079176,0.26652240,0.90158863,0.38755970,0.22957290,0.38286740,0.22695365
887,3x5_Dynamic_Double_GB_Deep,0.98406163,0.83082611,0.01570558,0.15346830,0.89893383,0.87050134,0.78674666,0.08937553,0.12387781,0.16053198
891,3x5_Dynamic_Double_GB_Deep,0.95224844,0.70506894,0.07855575,0.21637531,0.43405477,0.91640869,0.68291233,0.09649243,0.22059524,0.24986199
94,3x5_Dynamic_Double_GB_Deep,0.98863128,0.74819962,0.14476069,0.10703969,0.34729502,0.95987050,0.72388673,0.16613817,0.10997510,0.26083891
96,3x5_Dynamic_Double_GB_Deep,0.99285148,0.75805429,0.01964592,0.22229979,0.69388424,0.86810966,0.71908832,0.05911681,0.22179487,0.23419741
151,3x5_Dynamic_Ternary_Deep,0.99868547,0.18015474,0.38386961,0.43597565,0.03040081,0.85183139,0.19804762,0.34680952,0.45514286,0.06823276
17,3x5_Dynamic_Ternary_Deep,1.00000000,0.78929870,0.12950490,0.08119639,0.19693314,0.96514501,0.73250000,0.17368421,0.09381579,0.24993619
174,3x5_Dynamic_Ternary_Deep,0.99943826,0.45035909,0.35488182,0.19475909,0.02703055,0.94041865,0.43489474,0.33310526,0.23200000,0.14820442
176,3x5_Dynamic_Ternary_Deep,0.91914875,0.66847748,0.06639896,0.26512357,0.40723488,0.83059031,0.63814775,0.08372973,0.27812252,0.12921434
19,3x5_Dynamic_Ternary_Deep,0.99905897,0.79967731,0.16756794,0.03275475,0.73761942,0.98640437,0.78819062,0.16643904,0.04537035,0.62635846
212,3x5_Dynamic_Ternary_Deep,0.99959834,0.56580645,0.15713262,0.27706093,0.21783279,0.91546302,0.53225806,0.20322581,0.26451613,0.28777101
267,3x5_Dynamic_Ternary_Deep,0.99998362,0.86221131,0.12434520,0.01344349,0.38380400,0.99355672,0.83223950,0.13715434,0.03060616,0.32400906
329,3x5_Dynamic_Ternary_Deep,0.93891404,0.28636019,0.14991735,0.56372246,0.17449165,0.75513216,0.28864018,0.18420840,0.52715142,0.09342926
43,3x5_Dynamic_Ternary_Deep,0.90449672,0.58291041,0.13122819,0.28586140,0.37243902,0.78982082,0.55554839,0.15369892,0.29075269,0.13126792
451,3x5_Dynamic_Ternary_Deep,0.99512309,0.18947619,0.24912821,0.56139560,0.04797333,0.81411905,0.20681818,0.29484848,0.49833333,0.06009269
519,3x5_Dynamic_Ternary_Deep,0.99847807,0.82422718,0.01360099,0.16217183,0.79354629,0.85851285,0.77413793,0.01937931,0.20648276,0.10392331
52,3x5_Dynamic_Ternary_Deep,0.99972121,0.85800020,0.04266988,0.09932992,0.68894861,0.92041756,0.75936508,0.06557143,0.17506349,0.12193494
537,3x5_Dynamic_Ternary_Deep,0.99920410,0.46632692,0.30403365,0.22963942,0.07770310,0.85776190,0.43142857,0.33678571,0.23178571,-0.01860733
545,3x5_Dynamic_Ternary_Deep,0.99924577,0.88141149,0.00365704,0.11493147,0.70320430,0.96031041,0.81585302,0.00409449,0.18005249,0.23427123
